연도,발전설비,송전설비,변전설비,배전설비,변전설비,총계
2020,60,156,66,0,66,282
2019,40,86,58,0,58,184
2018,48,99,50,0,50,197
2017,45,77,48,0,48,170
2016,54,102,63,0,63,219
2015,65,106,36,0,36,207
2014,102,96,63,0,63,261
2013,105,94,67,0,67,266
2012,98,197,66,0,66,361
2011,44,66,91,0,91,201
2010,45,119,119,0,119,283
2009,51,134,108,0,108,293
2008,29,76,80,0,80,185
2007,41,137,103,0,103,281
2006,44,33,32,1371,32,1480
2005,40,32,34,1487,34,1593
2004,49,34,37,1590,37,1710
2003,59,36,30,1642,30,1767
2002,57,37,14,1813,14,1921
2001,54,34,27,2022,27,2137
2000,36,39,25,2191,25,2291
1999,50,20,27,2769,27,2866
1998,45,22,47,2253,47,2367
1997,61,32,47,2233,47,2373
1996,64,44,86,2906,86,3100
1995,69,38,88,2974,88,3169
1994,72,54,89,3500,89,3715
1993,60,56,91,3572,91,3779
1992,51,58,9,1394,9,1512
1991,72,49,92,1527,92,1740
1990,58,62,96,1606,96,1822
1989,59,62,67,1545,67,1733
1988,79,65,101,1702,101,1947
1987,93,73,101,1888,101,2155
1986,121,73,89,2308,89,2591
